Municipio,Tipo.de.delito,Anio_2015,Anio_2016,Anio_2017,Anio_2018,Anio_2019,Anio_2020,Anio,2015,2016,2017,2018,2019,2020
Ocotlán,Violación,2,2,2,1,5,4,2015,Baja,Media,Media,Media,Media,Media
Ojuelos de Jalisco,Violación,2,0,0,2,0,1,2015,Baja,Baja,Baja,Media,Media,Baja
Pihuamo,Violación,0,1,0,0,0,0,2015,Nula,Nula,Nula,Nula,Nula,Nula
Poncitlán,Violación,1,1,3,5,1,1,2015,Baja,Media,Media,Media,Media,Baja
Puerto Vallarta,Violación,27,34,15,26,21,14,2015,Alta - media,Alta - media,Alta - media,Alta - media,Alta - media,Alta - media
Quitupan,Violación,0,0,0,0,0,0,2015,Nula,Nula,Nula,Nula,Nula,Nula
San Cristóbal de la Barranca,Violación,0,0,0,0,0,0,2015,Nula,Nula,Nula,Nula,Nula,Nula
San Diego de Alejandría,Violación,0,0,0,0,0,0,2015,Nula,Nula,Nula,Nula,Nula,Nula
San Gabriel,Violación,0,1,0,0,2,1,2015,Nula,Baja,Baja,Baja,Baja,Baja
San Ignacio Cerro Gordo,Violación,0,0,0,0,2,0,2015,Nula,Baja,Nula,Nula,Nula,Nula
San Juan de los Lagos,Violación,3,4,2,3,3,1,2015,Media,Baja,Media,Media,Media,Baja
San Juanito de Escobedo,Violación,0,0,0,0,0,0,2015,Nula,Nula,Nula,Nula,Nula,Nula
San Julián,Violación,1,0,0,0,1,0,2015,Baja,Baja,Nula,Nula,Nula,Nula
San Marcos,Violación,2,0,0,0,0,0,2015,Baja,Nula,Nula,Nula,Nula,Nula
San Martín de Bolaños,Violación,1,0,1,0,0,0,2015,Baja,Nula,Nula,Nula,Nula,Nula
San Martín Hidalgo,Violación,1,0,0,4,0,0,2015,Baja,Baja,Baja,Baja,Nula,Nula
San Miguel el Alto,Violación,0,0,1,1,1,2,2015,Nula,Media,Media,Media,Media,Media
San Pedro Tlaquepaque,Violación,35,28,44,33,36,14,2015,Alta - media,Alta - media,Alta - media,Alta - media,Alta - media,Alta - media
San Sebastián del Oeste,Violación,0,0,0,0,0,0,2015,Nula,Nula,Nula,Nula,Nula,Nula
Santa María de los Ángeles,Violación,0,0,0,0,0,0,2015,Nula,Nula,Nula,Nula,Nula,Nula
Santa María del Oro,Violación,0,0,0,0,0,0,2015,Nula,Nula,Nula,Nula,Nula,Nula
Sayula,Violación,0,1,2,1,0,1,2015,Nula,Baja,Baja,Media,Media,Baja
Tala,Violación,3,5,3,2,4,4,2015,Media,Media,Media,Media,Media,Media
Talpa de Allende,Violación,0,0,0,0,1,0,2015,Nula,Baja,Nula,Nula,Nula,Nula
Tamazula de Gordiano,Violación,2,2,0,1,0,0,2015,Baja,Baja,Nula,Nula,Nula,Nula
Tapalpa,Violación,4,1,0,0,0,0,2015,Media,Nula,Nula,Nula,Nula,Nula
Tecalitlán,Violación,0,0,1,0,0,0,2015,Nula,Nula,Nula,Nula,Nula,Nula
Techaluta de Montenegro,Violación,0,0,0,0,0,0,2015,Nula,Nula,Nula,Nula,Nula,Nula
Tecolotlán,Violación,1,0,1,1,3,1,2015,Baja,Baja,Baja,Media,Media,Baja
Tenamaxtlán,Violación,0,0,1,0,0,1,2015,Nula,Baja,Baja,Baja,Nula,Baja
Teocaltiche,Violación,4,1,0,0,1,3,2015,Media,Media,Media,Media,Media,Media
Teocuitatlán de Corona,Violación,0,1,0,0,0,0,2015,Nula,Nula,Nula,Nula,Nula,Nula
Tepatitlán de Morelos,Violación,6,4,3,10,4,2,2015,Media,Media,Media,Media,Media,Media
Tequila,Violación,2,2,1,0,0,0,2015,Baja,Baja,Nula,Nula,Nula,Nula
Teuchitlán,Violación,0,1,0,0,0,0,2015,Nula,Nula,Nula,Nula,Nula,Nula
Tizapán el Alto,Violación,1,1,0,1,0,0,2015,Baja,Baja,Nula,Nula,Nula,Nula
Tlajomulco de Zúñiga,Violación,28,47,44,30,38,28,2015,Alta - media,Alta - media,Alta - media,Alta - media,Alta - media,Alta - media
Tolimán,Violación,0,0,0,0,0,0,2015,Nula,Nula,Nula,Nula,Nula,Nula
Tomatlán,Violación,1,0,0,0,0,0,2015,Baja,Nula,Nula,Nula,Nula,Nula
Tonalá,Violación,25,33,33,20,31,10,2015,Alta - media,Alta - media,Alta - media,Alta - media,Alta - media,Media
Tonaya,Violación,0,0,0,0,0,1,2015,Nula,Baja,Baja,Baja,Nula,Baja
Tonila,Violación,0,0,0,0,0,0,2015,Nula,Nula,Nula,Nula,Nula,Nula
